,0
0,-0.2920926
1,-0.545878
2,-0.5123591
3,-0.2202666
4,0.1221043
5,-0.4213795
6,-0.7182605
7,-0.593762
8,-0.2561796
9,0.2298434
10,0.2394202
11,0.1699883
12,0.3256114
13,0.4932055
14,0.4046201
15,0.3758897
16,0.1244985
17,-0.1508347
18,-0.1867477
19,0.1412579
20,0.2753332
21,0.3543419
22,0.3950433
23,0.2633622
24,0.3016694
25,0.4141969
26,0.2106898
27,-0.1699883
28,0.1053449
29,0.3160346
30,0.1173159
31,0.1149217
32,-0.2011129
33,-0.3351882
34,-0.4189853
35,-0.3830723
36,-0.2801216
37,-0.1867477
38,-0.296881
39,-0.3040636
40,-0.2418144
41,0.1053449
42,0.09576806
43,-0.4118027
44,-0.4788404
45,-0.3256114
46,-0.1771709
47,-0.1436521
48,-0.1723825
49,-0.296881
50,-0.6320692
51,-0.5123591
52,0.1029507
53,-0.4309563
54,-0.5626374
55,-0.6751649
56,0.3495534
57,0.2178724
58,-0.1891419
59,0.1915361
60,0.3351882
61,0.3303998
62,0.2537854
63,-0.1460463
64,-0.1675941
65,-0.213084
66,0.248997
67,0.5363012
68,0.09337386
69,-0.2537854
70,-0.237026
71,-0.1556231
72,-0.3375824
73,-0.3878607
74,-0.5051765
75,-0.2346318
76,0.332794
77,0.2537854
78,-0.2681506
79,0.1723825
80,0.8834604
81,0.8571242
82,0.4333505
83,0.4022259
84,0.2633622
85,0.3016694
86,0.6584055
87,0.7422025
88,0.1484405
89,-0.7445967
90,-0.7015011
91,-0.8092402
92,-1.280898
93,-1.007959
94,-0.3974375
95,-0.4429273
96,-0.272939
97,0.09576806
98,0.2513912
99,0.6129156
100,1.276109
101,0.8738836
102,0.1364695
103,0.1364695
104,0.6967127
105,0.533907
106,0.7565677
107,-1.244985
108,-1.685518
109,-1.302446
110,-0.605733
111,-0.1675941
112,-0.308852
113,-0.332794
114,-0.3136404
115,-0.8954314
116,-1.16837
117,1.06542
118,1.21386
119,0.7900866
120,0.605733
121,0.2035071
122,0.2585738
123,0.2705448
124,0.1173159
125,0.4405331
126,-0.2705448
127,-1.070208
128,-1.355118
129,-1.240196
130,-0.521936
131,-0.3519476
132,-0.1412579
133,0.2418144
134,-0.1819593
135,0.1819593
136,0.08140286
137,0.296881
138,0.2394202
139,-0.1771709
140,-0.7757214
141,-0.7517793
142,-0.7637503
143,-0.6344634
144,0.6871359
145,1.175553
146,1.00317
147,0.6655881
148,-0.8930372
149,-0.5985504
150,0.1604115
151,0.2585738
152,0.7086837
153,0.2896984
154,-1.201889
155,-1.091756
156,0.7350199
157,0.5147533
158,0.9193734
159,0.9433154
160,0.1101333
161,-0.806846
162,-0.2418144
163,0.8523358
164,0.9600749
165,1.221043
166,1.029507
167,-1.012747
168,-1.156399
169,0.2274492
170,1.115698
171,1.072602
172,-0.2801216
173,-1.254562
174,-1.886631
175,-1.18513
176,0.3303998
177,1.802834
178,0.5722142
179,-0.3782839
180,-0.9121908
181,-0.4716577
182,0.6320692
183,1.211466
184,0.3854665
185,-1.108515
186,-1.900996
187,-1.441309
188,0.4333505
189,0.8451532
190,1.074997
191,1.051055
192,0.3040636
193,0.6224924
194,1.410185
195,0.830788
196,-2.5187
197,-3.205836
198,-2.300828
199,-0.8643068
200,0.6344634
201,1.316811
202,-1.273715
203,-1.338359
204,-0.4381389
205,1.228225
206,2.396596
207,0.1532289
208,-2.008735
209,-2.777274
210,-1.529895
211,-0.4141969
212,1.865083
213,0.8523358
214,-0.7900866
215,-1.96564
216,-1.007959
217,2.355895
218,1.244985
219,-1.187524
220,-3.198653
221,-2.578555
222,1.388637
223,2.255338
224,1.398214
225,-0.3591303
226,-2.288857
227,0.2394202
228,2.41575
229,2.602497
230,0.4405331
231,-1.99437
232,-1.374272
233,0.5865794
234,1.747767
235,1.984793
236,1.319205
237,-0.629675
238,-0.8595184
239,1.651999
240,3.756502
241,3.098097
242,0.2035071
243,-3.58412
244,-1.225831
245,1.041478
246,1.855506
247,1.376666
248,-0.6823475
249,-2.480393
250,-0.2705448
251,2.877831
252,3.325546
253,1.137246
254,-3.323152
255,-1.941698
256,0.6344634
257,1.970428
258,2.173935
259,-0.5123591
260,-1.972822
261,-1.671153
262,0.9648633
263,2.674323
264,2.104503
265,-2.715025
266,-2.942474
267,-1.11091
268,1.35033
269,2.011129
270,-1.49877
271,-2.092532
272,-0.7134721
273,1.359907
274,2.264915
275,0.8259995
276,-2.020706
277,-1.668759
278,0.4141969
279,1.264138
280,0.4237737
281,-0.6105214
282,-0.7398083
283,-0.7876924
284,0.5674258
285,2.035071
286,0.3758897
287,-1.034295
288,-1.685518
289,-1.005565
290,0.3687071
291,0.9457096
292,-0.5746084
293,-0.9409212
294,-1.070208
295,-0.7972692
296,2.111686
297,0.890643
298,-1.144428
299,-2.351106
300,-1.704672
301,-0.2801216
302,0.9169792
303,-0.3232172
304,-0.9504981
305,-0.9888053
306,0.3663129
307,1.077391
308,1.352724
309,0.1460463
310,-1.268927
311,-1.436521
312,0.344765
313,0.9169792
314,0.4405331
315,-1.067814
316,-1.175553
317,-1.132457
318,1.740585
319,1.18513
320,-0.7517793
321,-1.877054
322,-1.549049
323,0.9983821
324,0.9552865
325,0.3663129
326,-1.101333
327,-0.9552865
328,0.3256114
329,1.448492
330,1.987187
331,1.089362
332,-0.7302315
333,-0.1915361
334,0.3926491
335,0.605733
336,0.830788
337,-0.3064578
338,-0.6895301
339,0.1987187
340,1.49877
341,1.877054
342,1.711854
343,-1.620875
344,-1.074997
345,1.115698
346,0.5770026
347,-0.4764462
348,-0.2561796
349,-0.4644751
350,0.5363012
351,0.6488287
352,0.9361328
353,0.2513912
354,-0.3064578
355,-0.4189853
356,0.6153098
357,0.9121908
358,0.3974375
359,0.2106898
360,-1.036689
361,-0.533907
362,0.1460463
363,1.249773
364,0.8044518
365,-0.2585738
366,-1.077391
367,0.4979939
368,1.197101
369,0.3591303
370,-0.6488287
371,-1.482011
372,-0.3567361
373,0.1963245
374,0.4955997
375,0.1508347
376,-0.2011129
377,-0.5793968
378,0.3112462
379,0.08379706
380,-0.4764462
381,-0.1580173
382,-0.7900866
383,-0.5315128
384,0.7230489
385,1.165976
386,-1.321599
387,-1.338359
388,-0.7062895
389,1.000776
390,-0.5171475
391,-0.7062895
392,-0.8834604
393,-0.1460463
394,0.1628057
395,0.4955997
396,-0.4812346
397,-0.5482722
398,-0.5961562
399,0.6727707
400,0.7182605
401,-0.3998317
402,-0.6081272
403,-1.412579
404,-0.9050082
405,0.5770026
406,0.7876924
407,-0.7493851
408,-1.429338
409,-0.533907
410,0.3806781
411,1.520318
412,-1.189918
413,-1.218649
414,-1.132457
415,-0.2657564
416,0.85473
417,0.8140285
418,-0.6560113
419,0.4812346
420,0.4716577
421,-0.3136404
422,-0.7900866
423,-0.3663129
424,-0.1484405
425,0.2681506
426,0.7350199
427,-0.4596867
428,-1.572991
429,-1.321599
430,0.5243302
431,1.407791
432,0.3782839
433,-0.9935937
434,-0.5482722
435,-0.4022259
436,0.9792285
437,0.2442086
438,-0.6631939
439,-0.7972692
440,0.5171475
441,1.256956
442,1.007959
443,-0.1819593
444,-0.9169792
445,-0.9648633
446,-0.1675941
447,0.5267244
448,1.410185
449,-0.7733272
450,-0.6200982
451,1.086968
452,1.252167
453,0.272939
454,-0.3734955
455,-0.6655881
456,0.1556231
457,0.1029507
458,0.9648633
459,0.782904
460,-0.6991069
461,-0.3471592
462,0.5554548
463,0.5171475
464,0.4548983
465,-0.7805098
466,-0.6967127
467,-0.5482722
468,0.1939303
469,0.7757214
470,0.581791
471,-0.7374141
472,-1.51553
473,-0.8188169
474,0.296881
